drugbank_id,name,smiles_canonical,image_path
DB00203,Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,drug_embeddings_by_freq\drug_images\DB00203.png
DB00204,Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,drug_embeddings_by_freq\drug_images\DB00204.png
DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,drug_embeddings_by_freq\drug_images\DB00207.png
DB00209,Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,drug_embeddings_by_freq\drug_images\DB00209.png
DB00210,Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,drug_embeddings_by_freq\drug_images\DB00210.png
DB00211,Midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,drug_embeddings_by_freq\drug_images\DB00211.png
DB00213,Pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,drug_embeddings_by_freq\drug_images\DB00213.png
DB00214,Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,drug_embeddings_by_freq\drug_images\DB00214.png
DB00215,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,drug_embeddings_by_freq\drug_images\DB00215.png
DB00216,Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,drug_embeddings_by_freq\drug_images\DB00216.png
DB00218,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,drug_embeddings_by_freq\drug_images\DB00218.png
DB00220,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,drug_embeddings_by_freq\drug_images\DB00220.png
DB00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,drug_embeddings_by_freq\drug_images\DB00222.png
DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,drug_embeddings_by_freq\drug_images\DB00224.png
DB00227,Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,drug_embeddings_by_freq\drug_images\DB00227.png
DB00230,Pregabalin,CC(C)C[C@H](CN)CC(=O)O,drug_embeddings_by_freq\drug_images\DB00230.png
DB00231,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,drug_embeddings_by_freq\drug_images\DB00231.png
DB00234,Reboxetine,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,drug_embeddings_by_freq\drug_images\DB00234.png
DB00238,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,drug_embeddings_by_freq\drug_images\DB00238.png
DB00242,Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,drug_embeddings_by_freq\drug_images\DB00242.png
DB00243,Ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,drug_embeddings_by_freq\drug_images\DB00243.png
DB00244,Mesalazine,Nc1ccc(O)c(C(=O)O)c1,drug_embeddings_by_freq\drug_images\DB00244.png
DB00246,Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,drug_embeddings_by_freq\drug_images\DB00246.png
DB00248,Cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,drug_embeddings_by_freq\drug_images\DB00248.png
DB00250,Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,drug_embeddings_by_freq\drug_images\DB00250.png
DB00251,Terconazole,CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,drug_embeddings_by_freq\drug_images\DB00251.png
DB00252,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,drug_embeddings_by_freq\drug_images\DB00252.png
DB00254,Doxycycline,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,drug_embeddings_by_freq\drug_images\DB00254.png
DB00261,Anagrelide,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,drug_embeddings_by_freq\drug_images\DB00261.png
DB00262,Carmustine,O=NN(CCCl)C(=O)NCCCl,drug_embeddings_by_freq\drug_images\DB00262.png
DB00264,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,drug_embeddings_by_freq\drug_images\DB00264.png
DB00268,Ropinirole,CCCN(CCC)CCc1cccc2c1CC(=O)N2,drug_embeddings_by_freq\drug_images\DB00268.png
DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,drug_embeddings_by_freq\drug_images\DB00270.png
DB00273,Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,drug_embeddings_by_freq\drug_images\DB00273.png
DB00276,Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,drug_embeddings_by_freq\drug_images\DB00276.png
DB00277,Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,drug_embeddings_by_freq\drug_images\DB00277.png
DB00278,Argatroban,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,drug_embeddings_by_freq\drug_images\DB00278.png
DB00281,Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,drug_embeddings_by_freq\drug_images\DB00281.png
DB00285,Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,drug_embeddings_by_freq\drug_images\DB00285.png
DB00287,Travoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,drug_embeddings_by_freq\drug_images\DB00287.png
DB00289,Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,drug_embeddings_by_freq\drug_images\DB00289.png
DB00290,Bleomycin,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,drug_embeddings_by_freq\drug_images\DB00290.png
DB00291,Chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,drug_embeddings_by_freq\drug_images\DB00291.png
DB00293,Raltitrexed,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,drug_embeddings_by_freq\drug_images\DB00293.png
